0 0
0 0 0 
1 3 13 joo
1 4 6 joo
1 11 7 joo
1 5 1 joo
1 10 12 joo
1 2 8 joo
1 9 14 joo
2 7 11 joo
2 14 13 joo
2 15 3 joo
2 1 5 joo
2 4 10 joo
2 12 9 joo
2 8 2 joo
3 3 11 joo
3 9 4 joo
3 14 6 ei
3 8 1 ei
3 5 10 ei
3 2 12 ei
3 7 13 ei
4 12 3 joo
4 15 4 joo
4 1 8 ei
4 6 10 ei
4 9 13 ei
4 2 14 ei
4 11 5 ei
5 9 15 joo
5 5 6 ei
5 1 3 ei
5 14 4 ei
5 2 11 ei
5 10 7 ei
5 13 12 ei
6 14 5 ei
6 2 1 ei
6 6 11 ei
6 7 4 ei
6 12 10 ei
6 3 9 ei
7 9 6 joo
7 11 1 ei
7 5 8 ei
7 14 12 ei
7 15 2 ei
7 7 3 ei
7 13 10 ei
8 15 6 joo
8 11 10 ei
8 4 5 ei
8 13 14 ei
8 8 2 ei
8 9 12 ei
9 3 7 joo
9 12 11 joo
9 6 5 ei
9 13 1 ei
9 10 9 ei
9 2 4 ei
9 8 15 ei
10 8 11 joo
10 6 12 joo
10 13 5 ei
10 1 10 ei
10 14 15 ei
10 7 9 ei
10 4 3 ei
11 14 9 joo
11 4 12 joo
11 8 5 ei
11 1 7 ei
11 15 11 ei
11 13 6 ei
11 2 3 ei
12 15 8 joo
12 4 11 ei
12 12 7 ei
12 9 3 ei
12 2 10 ei
13 9 8 joo
13 1 4 ei
13 7 15 ei
13 5 14 ei
13 11 13 ei
13 10 6 ei
13 3 12 ei
14 13 4 joo
14 12 3 joo
14 1 9 ei
14 8 6 ei
14 5 2 ei
14 14 15 ei
14 7 11 ei
15 3 4 joo
15 8 7 ei
15 11 15 ei
15 2 9 ei
16 4 9 joo
16 5 7 ei
16 6 2 ei
16 11 14 ei
16 8 12 ei
16 3 1 ei
16 15 13 ei
17 14 1 joo
17 11 9 joo
17 13 8 ei
17 10 5 ei
17 12 6 ei
17 7 2 ei
17 3 15 ei
18 9 1 ei
18 7 6 ei
18 14 3 ei
18 13 11 ei
18 12 5 ei
18 15 10 ei
18 8 4 ei
19 13 3 joo
19 4 8 joo
19 6 1 ei
19 10 14 ei
19 7 5 ei
19 2 15 ei
19 11 12 ei
20 7 1 joo
20 11 8 joo
20 3 14 ei
20 9 5 ei
20 2 6 ei
20 10 13 ei
20 4 15 ei
21 10 15 joo
21 1 6 joo
21 14 8 ei
21 12 13 ei
21 9 2 ei
21 11 4 ei
21 5 3 ei
22 15 14 joo
22 1 2 joo
22 3 6 joo
22 7 12 joo
22 8 13 ei
22 5 9 ei
22 10 11 ei
23 15 1 joo
23 7 12 joo
23 14 10 ei
23 6 4 ei
23 13 9 ei
23 5 11 ei
23 3 2 ei
24 4 7 ei
24 15 9 ei
24 8 3 ei
24 11 10 ei
24 12 2 ei
25 12 14 joo
25 10 3 joo
25 4 13 joo
25 2 1 ei
25 6 7 ei
25 5 15 ei
25 8 9 ei
26 8 14 joo
26 11 3 joo
26 6 13 joo
26 15 5 ei
26 1 12 ei
26 2 7 ei
26 10 4 ei
27 6 14 ei
27 5 4 ei
27 10 7 ei
27 3 8 ei
27 12 1 ei
27 13 15 ei
28 3 13 joo
28 10 1 ei
28 2 5 ei
28 15 7 ei
28 4 14 ei
28 6 9 ei
28 12 8 ei
29 9 14 joo
29 7 10 joo
29 6 8 ei
29 13 2 ei
29 12 4 ei
29 1 11 ei
30 14 7 ei
30 11 6 ei
30 2 13 ei
30 3 5 ei
30 4 1 ei
30 12 15 ei
30 8 10 ei
31 10 8 joo
31 9 11 joo
31 13 7 ei
31 6 4 ei
31 5 12 ei
31 14 2 ei
31 1 15 ei
32 1 13 joo
32 15 9 joo
32 7 8 joo
32 14 11 joo
32 5 6 ei
32 4 2 ei
32 3 10 ei
33 5 13 ei
33 7 14 ei
33 1 8 ei
33 6 3 ei
33 11 2 ei
33 9 10 ei
33 15 12 ei
34 1 14 joo
34 6 15 joo
34 13 12 ei
34 4 5 ei
34 9 7 ei
34 10 2 ei
